accession	secondary_sample_accession	bio_material	cell_line	cell_type	collected_by	collection_date	country	cultivar	culture_collection	description	dev_stage	ecotype	environmental_sample	first_public	germline	identified_by	isolate	isolation_source	location	mating_type	serotype	serovar	sex	submitted_sex	specimen_voucher	strain	sub_species	sub_strain	tissue_lib	tissue_type	variety	tax_id	scientific_name	sample_alias	checklist	center_name	depth	elevation	altitude	environment_biome	environment_feature	environment_material	temperature	salinity	sampling_campaign	sampling_site	sampling_platform	protocol_label	project_name	host	host_tax_id	host_status	host_sex	submitted_host_sex	host_body_site	host_gravidity	host_phenotype	host_genotype	host_growth_conditions	environmental_package	investigation_type	experimental_factor	sample_collection	sequencing_method	target_gene	ph	broker_name
SAMEA1011633	ERS046634									This sample has been submitted by Wellcome Sanger Institute on 2011-08-17; Neisseria meningitidis			false	2012-01-05	false																	487	Neisseria meningitidis	Nimitpol-sc-2011-08-17T10:28:16Z-1258996		Wellcome Sanger Institute																															
SAMEA1011638	ERS006974									This sample has been submitted by Wellcome Sanger Institute on 2010-03-17; Neisseria meningitidis			false	2011-09-19	false											2790						487	Neisseria meningitidis	2790-sc-2010-05-07-9787		Wellcome Sanger Institute																															
SAMEA1011639	ERS046635									This sample has been submitted by Wellcome Sanger Institute on 2011-08-17; Neisseria meningitidis			false	2012-01-05	false																	487	Neisseria meningitidis	P_15-sc-2011-08-17T10:28:17Z-1258997		Wellcome Sanger Institute																															
SAMEA1011670	ERS046630									This sample has been submitted by Wellcome Sanger Institute on 2011-08-17; Neisseria meningitidis			false	2012-01-05	false																	487	Neisseria meningitidis	MK_521_99-sc-2011-08-17T10:28:14Z-1258992		Wellcome Sanger Institute																															
SAMEA1011673	ERS046599									This sample has been submitted by Wellcome Sanger Institute on 2011-08-17; Neisseria meningitidis			false	2012-01-05	false																	487	Neisseria meningitidis	2838-sc-2011-08-17T10:27:55Z-1258961		Wellcome Sanger Institute																															
SAMEA1011693	ERS046598									This sample has been submitted by Wellcome Sanger Institute on 2011-08-17; Neisseria meningitidis			false	2012-01-05	false																	487	Neisseria meningitidis	2839-sc-2011-08-17T10:27:55Z-1258960		Wellcome Sanger Institute																															
SAMEA1011709	ERS046620									This sample has been submitted by Wellcome Sanger Institute on 2011-08-17; Neisseria meningitidis			false	2012-01-05	false																	487	Neisseria meningitidis	AO5-sc-2011-08-17T10:28:09Z-1258982		Wellcome Sanger Institute																															
SAMEA1011711	ERS006966									This sample has been submitted by Wellcome Sanger Institute on 2010-03-17; Neisseria meningitidis			false	2011-09-19	false											2792						487	Neisseria meningitidis	2792-sc-2010-05-07-9779		Wellcome Sanger Institute																															
SAMEA1011725	ERS006967									This sample has been submitted by Wellcome Sanger Institute on 2010-03-17; Neisseria meningitidis			false	2011-09-19	false											2793						487	Neisseria meningitidis	2793-sc-2010-05-07-9780		Wellcome Sanger Institute																															
SAMEA1011741	ERS006969									This sample has been submitted by Wellcome Sanger Institute on 2010-03-17; Neisseria meningitidis			false	2011-09-19	false											2783						487	Neisseria meningitidis	2783-sc-2010-05-07-9782		Wellcome Sanger Institute																															
SAMEA1011746	ERS006968									This sample has been submitted by Wellcome Sanger Institute on 2010-03-17; Neisseria meningitidis			false	2011-09-19	false											2782						487	Neisseria meningitidis	2782-sc-2010-05-07-9781		Wellcome Sanger Institute																															
SAMEA1011749	ERS046622									This sample has been submitted by Wellcome Sanger Institute on 2011-08-17; Neisseria meningitidis			false	2012-01-05	false																	487	Neisseria meningitidis	H172-sc-2011-08-17T10:28:10Z-1258984		Wellcome Sanger Institute																															
SAMEA1011764	ERS046621									This sample has been submitted by Wellcome Sanger Institute on 2011-08-17; Neisseria meningitidis			false	2012-01-05	false																	487	Neisseria meningitidis	H1100_87-sc-2011-08-17T10:28:09Z-1258983		Wellcome Sanger Institute																															
SAMEA1011768	ERS046586									This sample has been submitted by Wellcome Sanger Institute on 2011-08-17; Neisseria meningitidis			false	2012-01-05	false																	487	Neisseria meningitidis	H_L_Control-sc-2011-08-17T10:27:47Z-1258948		Wellcome Sanger Institute																															
SAMEA1011771	ERS046610									This sample has been submitted by Wellcome Sanger Institute on 2011-08-17; Neisseria meningitidis			false	2012-01-05	false																	487	Neisseria meningitidis	82238-sc-2011-08-17T10:28:03Z-1258972		Wellcome Sanger Institute																															
SAMEA1011779	ERS046625									This sample has been submitted by Wellcome Sanger Institute on 2011-08-17; Neisseria meningitidis			false	2012-01-05	false																	487	Neisseria meningitidis	M_2528-sc-2011-08-17T10:28:12Z-1258987		Wellcome Sanger Institute																															
SAMEA1011782	ERS046592									This sample has been submitted by Wellcome Sanger Institute on 2011-08-17; Neisseria meningitidis			false	2012-01-05	false																	487	Neisseria meningitidis	2845-sc-2011-08-17T10:27:50Z-1258954		Wellcome Sanger Institute																															
SAMEA1011790	ERS046623									This sample has been submitted by Wellcome Sanger Institute on 2011-08-17; Neisseria meningitidis			false	2012-01-05	false																	487	Neisseria meningitidis	H355-sc-2011-08-17T10:28:11Z-1258985		Wellcome Sanger Institute																															
SAMEA1011792	ERS046591									This sample has been submitted by Wellcome Sanger Institute on 2011-08-17; Neisseria meningitidis			false	2012-01-05	false																	487	Neisseria meningitidis	2846-sc-2011-08-17T10:27:50Z-1258953		Wellcome Sanger Institute																															
SAMEA1011802	ERS046624									This sample has been submitted by Wellcome Sanger Institute on 2011-08-17; Neisseria meningitidis			false	2012-01-05	false																	487	Neisseria meningitidis	M_1037-sc-2011-08-17T10:28:11Z-1258986		Wellcome Sanger Institute																															
SAMEA1011803	ERS046587									This sample has been submitted by Wellcome Sanger Institute on 2011-08-17; Neisseria meningitidis			false	2012-01-05	false																	487	Neisseria meningitidis	21033-sc-2011-08-17T10:27:47Z-1258949		Wellcome Sanger Institute																															
SAMEA1011809	ERS046590									This sample has been submitted by Wellcome Sanger Institute on 2011-08-17; Neisseria meningitidis			false	2012-01-05	false																	487	Neisseria meningitidis	2847-sc-2011-08-17T10:27:49Z-1258952		Wellcome Sanger Institute																															
SAMEA1011810	ERS046627									This sample has been submitted by Wellcome Sanger Institute on 2011-08-17; Neisseria meningitidis			false	2012-01-05	false																	487	Neisseria meningitidis	M_64-sc-2011-08-17T10:28:12Z-1258989		Wellcome Sanger Institute																															
SAMEA1011820	ERS046588									This sample has been submitted by Wellcome Sanger Institute on 2011-08-17; Neisseria meningitidis			false	2012-01-05	false																	487	Neisseria meningitidis	12033_2-sc-2011-08-17T10:27:48Z-1258950		Wellcome Sanger Institute																															
SAMEA1011828	ERS046589									This sample has been submitted by Wellcome Sanger Institute on 2011-08-17; Neisseria meningitidis			false	2012-01-05	false																	487	Neisseria meningitidis	2848-sc-2011-08-17T10:27:48Z-1258951		Wellcome Sanger Institute																															
SAMEA1011831	ERS046626									This sample has been submitted by Wellcome Sanger Institute on 2011-08-17; Neisseria meningitidis			false	2012-01-05	false																	487	Neisseria meningitidis	M_50-sc-2011-08-17T10:28:12Z-1258988		Wellcome Sanger Institute																															
SAMEA1011840	ERS046597									This sample has been submitted by Wellcome Sanger Institute on 2011-08-17; Neisseria meningitidis			false	2012-01-05	false																	487	Neisseria meningitidis	2840-sc-2011-08-17T10:27:54Z-1258959		Wellcome Sanger Institute																															
SAMEA1011841	ERS046629									This sample has been submitted by Wellcome Sanger Institute on 2011-08-17; Neisseria meningitidis			false	2012-01-05	false																	487	Neisseria meningitidis	MA_5873-sc-2011-08-17T10:28:13Z-1258991		Wellcome Sanger Institute																															
SAMEA1011847	ERS046615									This sample has been submitted by Wellcome Sanger Institute on 2011-08-17; Neisseria meningitidis			false	2012-01-05	false																	487	Neisseria meningitidis	70_92-sc-2011-08-17T10:28:06Z-1258977		Wellcome Sanger Institute																															
SAMEA1011861	ERS046596									This sample has been submitted by Wellcome Sanger Institute on 2011-08-17; Neisseria meningitidis			false	2012-01-05	false																	487	Neisseria meningitidis	2841-sc-2011-08-17T10:27:54Z-1258958		Wellcome Sanger Institute																															
SAMEA1011864	ERS046628									This sample has been submitted by Wellcome Sanger Institute on 2011-08-17; Neisseria meningitidis			false	2012-01-05	false																	487	Neisseria meningitidis	MA_5587-sc-2011-08-17T10:28:13Z-1258990		Wellcome Sanger Institute																															
SAMEA1011866	ERS046614									This sample has been submitted by Wellcome Sanger Institute on 2011-08-17; Neisseria meningitidis			false	2012-01-05	false																	487	Neisseria meningitidis	270_94-sc-2011-08-17T10:28:05Z-1258976		Wellcome Sanger Institute																															
SAMEA1011870	ERS046612									This sample has been submitted by Wellcome Sanger Institute on 2011-08-17; Neisseria meningitidis			false	2012-01-05	false																	487	Neisseria meningitidis	25_76-sc-2011-08-17T10:28:04Z-1258974		Wellcome Sanger Institute																															
SAMEA1011873	ERS046584									This sample has been submitted by Wellcome Sanger Institute on 2011-08-17; Neisseria meningitidis			false	2012-01-05	false																	487	Neisseria meningitidis	M22468-sc-2011-08-17T10:27:44Z-1258946		Wellcome Sanger Institute																															
SAMEA1011876	ERS046595									This sample has been submitted by Wellcome Sanger Institute on 2011-08-17; Neisseria meningitidis			false	2012-01-05	false																	487	Neisseria meningitidis	2842-sc-2011-08-17T10:27:53Z-1258957		Wellcome Sanger Institute																															
SAMEA1011890	ERS046594									This sample has been submitted by Wellcome Sanger Institute on 2011-08-17; Neisseria meningitidis			false	2012-01-05	false																	487	Neisseria meningitidis	2843-sc-2011-08-17T10:27:53Z-1258956		Wellcome Sanger Institute																															
SAMEA1011891	ERS046613									This sample has been submitted by Wellcome Sanger Institute on 2011-08-17; Neisseria meningitidis			false	2012-01-05	false																	487	Neisseria meningitidis	27_86-sc-2011-08-17T10:28:05Z-1258975		Wellcome Sanger Institute																															
SAMEA1011895	ERS046585									This sample has been submitted by Wellcome Sanger Institute on 2011-08-17; Neisseria meningitidis			false	2012-01-05	false																	487	Neisseria meningitidis	M22832-sc-2011-08-17T10:27:45Z-1258947		Wellcome Sanger Institute																															
SAMEA1011896	ERS046611									This sample has been submitted by Wellcome Sanger Institute on 2011-08-17; Neisseria meningitidis			false	2012-01-05	false																	487	Neisseria meningitidis	96038-sc-2011-08-17T10:28:03Z-1258973		Wellcome Sanger Institute																															
SAMEA1011902	ERS046593									This sample has been submitted by Wellcome Sanger Institute on 2011-08-17; Neisseria meningitidis			false	2012-01-05	false																	487	Neisseria meningitidis	2844-sc-2011-08-17T10:27:52Z-1258955		Wellcome Sanger Institute																															
SAMEA102346168	ERS1574576									SAMPLE_WTCHG_350648_201106			false	2017-03-01	false																	487	Neisseria meningitidis	SAMPLE_WTCHG_350648_201106	ERC000011	University of Oxford																															MAIDEN_OX
SAMEA102346918	ERS1574577									SAMPLE_WTCHG_350648_201191			false	2017-03-01	false																	487	Neisseria meningitidis	SAMPLE_WTCHG_350648_201191	ERC000011	University of Oxford																															MAIDEN_OX
SAMEA102347668	ERS1574578									SAMPLE_WTCHG_350648_202118			false	2017-03-01	false																	487	Neisseria meningitidis	SAMPLE_WTCHG_350648_202118	ERC000011	University of Oxford																															MAIDEN_OX
SAMEA102348418	ERS1574579									SAMPLE_WTCHG_350648_202179			false	2017-03-01	false																	487	Neisseria meningitidis	SAMPLE_WTCHG_350648_202179	ERC000011	University of Oxford																															MAIDEN_OX
SAMEA102349168	ERS1574580									SAMPLE_WTCHG_350648_203130			false	2017-03-01	false																	487	Neisseria meningitidis	SAMPLE_WTCHG_350648_203130	ERC000011	University of Oxford																															MAIDEN_OX
SAMEA102349918	ERS1574581									SAMPLE_WTCHG_350648_203167			false	2017-03-01	false																	487	Neisseria meningitidis	SAMPLE_WTCHG_350648_203167	ERC000011	University of Oxford																															MAIDEN_OX
SAMEA102351418	ERS1574583									SAMPLE_WTCHG_350648_204155			false	2017-03-01	false																	487	Neisseria meningitidis	SAMPLE_WTCHG_350648_204155	ERC000011	University of Oxford																															MAIDEN_OX
SAMEA102352168	ERS1574584									SAMPLE_WTCHG_350648_205143			false	2017-03-01	false																	487	Neisseria meningitidis	SAMPLE_WTCHG_350648_205143	ERC000011	University of Oxford																															MAIDEN_OX
SAMEA102353668	ERS1574586									SAMPLE_WTCHG_350648_206131			false	2017-03-01	false																	487	Neisseria meningitidis	SAMPLE_WTCHG_350648_206131	ERC000011	University of Oxford																															MAIDEN_OX
SAMEA102354418	ERS1574587									SAMPLE_WTCHG_350648_206166			false	2017-03-01	false																	487	Neisseria meningitidis	SAMPLE_WTCHG_350648_206166	ERC000011	University of Oxford																															MAIDEN_OX
SAMEA102355918	ERS1574589									SAMPLE_WTCHG_350648_207178			false	2017-03-01	false																	487	Neisseria meningitidis	SAMPLE_WTCHG_350648_207178	ERC000011	University of Oxford																															MAIDEN_OX
SAMEA102356668	ERS1574590									SAMPLE_WTCHG_350648_208107			false	2017-03-01	false																	487	Neisseria meningitidis	SAMPLE_WTCHG_350648_208107	ERC000011	University of Oxford																															MAIDEN_OX
