accession	secondary_sample_accession	bio_material	cell_line	cell_type	collected_by	collection_date	country	cultivar	culture_collection	description	dev_stage	ecotype	environmental_sample	first_public	germline	identified_by	isolate	isolation_source	location	mating_type	serotype	serovar	sex	submitted_sex	specimen_voucher	strain	sub_species	sub_strain	tissue_lib	tissue_type	variety	tax_id	scientific_name	sample_alias	checklist	center_name	depth	elevation	altitude	environment_biome	environment_feature	environment_material	temperature	salinity	sampling_campaign	sampling_site	sampling_platform	protocol_label	project_name	host	host_tax_id	host_status	host_sex	submitted_host_sex	host_body_site	host_gravidity	host_phenotype	host_genotype	host_growth_conditions	environmental_package	investigation_type	experimental_factor	sample_collection	sequencing_method	target_gene	ph	broker_name
SAMEA1677307	ERS168336									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX0050408-sc-2012-09-05T16:21:39Z-1476469		Wellcome Sanger Institute																															
SAMEA1677309	ERS168277									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX9930499b-sc-2012-09-05T16:20:56Z-1476410		Wellcome Sanger Institute																															
SAMEA1677310	ERS168276									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX9930434b-sc-2012-09-05T16:20:56Z-1476409		Wellcome Sanger Institute																															
SAMEA1677311	ERS168337									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX0050459-sc-2012-09-05T16:21:40Z-1476470		Wellcome Sanger Institute																															
SAMEA1677313	ERS168339									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX0050677-sc-2012-09-05T16:21:41Z-1476472		Wellcome Sanger Institute																															
SAMEA1677314	ERS168275									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX9930357b-sc-2012-09-05T16:20:55Z-1476408		Wellcome Sanger Institute																															
SAMEA1677315	ERS168338									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX0050570-sc-2012-09-05T16:21:41Z-1476471		Wellcome Sanger Institute																															
SAMEA1677317	ERS168274									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX9930110b-sc-2012-09-05T16:20:54Z-1476407		Wellcome Sanger Institute																															
SAMEA1677319	ERS168312									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX9931676-sc-2012-09-05T16:21:21Z-1476445		Wellcome Sanger Institute																															
SAMEA1677320	ERS168313									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX9931715-sc-2012-09-05T16:21:21Z-1476446		Wellcome Sanger Institute																															
SAMEA1677321	ERS168382									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX01061328-sc-2012-09-05T16:22:13Z-1476515		Wellcome Sanger Institute																															
SAMEA1677322	ERS168314									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX9931875-sc-2012-09-05T16:21:22Z-1476447		Wellcome Sanger Institute																															
SAMEA1677324	ERS168381									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX01061310-sc-2012-09-05T16:22:12Z-1476514		Wellcome Sanger Institute																															
SAMEA1677325	ERS168380									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX01061140-sc-2012-09-05T16:22:11Z-1476513		Wellcome Sanger Institute																															
SAMEA1677326	ERS168315									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX9931911a-sc-2012-09-05T16:21:23Z-1476448		Wellcome Sanger Institute																															
SAMEA1677327	ERS168384									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX01061431-sc-2012-09-05T16:22:14Z-1476517		Wellcome Sanger Institute																															
SAMEA1677328	ERS168383									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX01061416-sc-2012-09-05T16:22:14Z-1476516		Wellcome Sanger Institute																															
SAMEA1677329	ERS168387									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX01061541-sc-2012-09-05T16:22:18Z-1476520		Wellcome Sanger Institute																															
SAMEA1677330	ERS168310									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX9931553-sc-2012-09-05T16:21:20Z-1476443		Wellcome Sanger Institute																															
SAMEA1677332	ERS168386									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX01061511-sc-2012-09-05T16:22:17Z-1476519		Wellcome Sanger Institute																															
SAMEA1677333	ERS168311									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX9931563-sc-2012-09-05T16:21:20Z-1476444		Wellcome Sanger Institute																															
SAMEA1677334	ERS168385									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX01061451-sc-2012-09-05T16:22:16Z-1476518		Wellcome Sanger Institute																															
SAMEA1677335	ERS168280									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX9930681-sc-2012-09-05T16:20:59Z-1476413		Wellcome Sanger Institute																															
SAMEA1677337	ERS168390									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX01061587-sc-2012-09-05T16:22:19Z-1476523		Wellcome Sanger Institute																															
SAMEA1677338	ERS168318									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX9931990-sc-2012-09-05T16:21:26Z-1476451		Wellcome Sanger Institute																															
SAMEA1677339	ERS168316									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX9931966-sc-2012-09-05T16:21:24Z-1476449		Wellcome Sanger Institute																															
SAMEA1677340	ERS168391									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX01061635-sc-2012-09-05T16:22:20Z-1476524		Wellcome Sanger Institute																															
SAMEA1677342	ERS168392									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX01061649-sc-2012-09-05T16:22:21Z-1476525		Wellcome Sanger Institute																															
SAMEA1677344	ERS168317									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX9931967-sc-2012-09-05T16:21:25Z-1476450		Wellcome Sanger Institute																															
SAMEA1677346	ERS168393									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX01061707-sc-2012-09-05T16:22:22Z-1476526		Wellcome Sanger Institute																															
SAMEA1677348	ERS168319									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX9932015-sc-2012-09-05T16:21:27Z-1476452		Wellcome Sanger Institute																															
SAMEA1677349	ERS168394									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX01061748-sc-2012-09-05T16:22:22Z-1476527		Wellcome Sanger Institute																															
SAMEA1677351	ERS168368									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX01060561-sc-2012-09-05T16:22:03Z-1476501		Wellcome Sanger Institute																															
SAMEA1677352	ERS168340									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX0050872-sc-2012-09-05T16:21:42Z-1476473		Wellcome Sanger Institute																															
SAMEA1677353	ERS168289									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX9930951-sc-2012-09-05T16:21:05Z-1476422		Wellcome Sanger Institute																															
SAMEA1677354	ERS168369									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX01060596-sc-2012-09-05T16:22:04Z-1476502		Wellcome Sanger Institute																															
SAMEA1677357	ERS168342									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX0050898-sc-2012-09-05T16:21:44Z-1476475		Wellcome Sanger Institute																															
SAMEA1677358	ERS168286									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX9930864-sc-2012-09-05T16:21:03Z-1476419		Wellcome Sanger Institute																															
SAMEA1677359	ERS168343									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX0050926-sc-2012-09-05T16:21:45Z-1476476		Wellcome Sanger Institute																															
SAMEA1677360	ERS168287									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX9930906-sc-2012-09-05T16:21:04Z-1476420		Wellcome Sanger Institute																															
SAMEA1677361	ERS168341									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX0050873-sc-2012-09-05T16:21:43Z-1476474		Wellcome Sanger Institute																															
SAMEA1677363	ERS168288									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX9930945-sc-2012-09-05T16:21:04Z-1476421		Wellcome Sanger Institute																															
SAMEA1677364	ERS168406									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX01062350-sc-2012-09-05T16:22:31Z-1476539		Wellcome Sanger Institute																															
SAMEA1677365	ERS168363									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX01060217-sc-2012-09-05T16:22:00Z-1476496		Wellcome Sanger Institute																															
SAMEA1677366	ERS168345									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX0050941-sc-2012-09-05T16:21:46Z-1476478		Wellcome Sanger Institute																															
SAMEA1677367	ERS168284									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX9930826-sc-2012-09-05T16:21:02Z-1476417		Wellcome Sanger Institute																															
SAMEA1677368	ERS168407									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX01062357-sc-2012-09-05T16:22:32Z-1476540		Wellcome Sanger Institute																															
SAMEA1677369	ERS168364									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX01060279-sc-2012-09-05T16:22:01Z-1476497		Wellcome Sanger Institute																															
SAMEA1677370	ERS168285									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX9930855-sc-2012-09-05T16:21:02Z-1476418		Wellcome Sanger Institute																															
SAMEA1677372	ERS168344									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX0050940-sc-2012-09-05T16:21:46Z-1476477		Wellcome Sanger Institute																															
SAMEA1677373	ERS168365									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX01060297-sc-2012-09-05T16:22:01Z-1476498		Wellcome Sanger Institute																															
SAMEA1677374	ERS168347									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX0051332-sc-2012-09-05T16:21:48Z-1476480		Wellcome Sanger Institute																															
SAMEA1677375	ERS168281									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX9930715-sc-2012-09-05T16:21:00Z-1476414		Wellcome Sanger Institute																															
SAMEA1677376	ERS168282									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX9930716-sc-2012-09-05T16:21:00Z-1476415		Wellcome Sanger Institute																															
SAMEA1677377	ERS168408									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX01062462-sc-2012-09-05T16:22:32Z-1476541		Wellcome Sanger Institute																															
SAMEA1677378	ERS168366									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX01060367-sc-2012-09-05T16:22:02Z-1476499		Wellcome Sanger Institute																															
SAMEA1677380	ERS168346									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX0051136-sc-2012-09-05T16:21:47Z-1476479		Wellcome Sanger Institute																															
SAMEA1677381	ERS168367									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX01060472-sc-2012-09-05T16:22:03Z-1476500		Wellcome Sanger Institute																															
SAMEA1677382	ERS168409									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX01062468-sc-2012-09-05T16:22:33Z-1476542		Wellcome Sanger Institute																															
SAMEA1677383	ERS168283									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX9930765-sc-2012-09-05T16:21:01Z-1476416		Wellcome Sanger Institute																															
SAMEA1677384	ERS168374									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX01060954-sc-2012-09-05T16:22:07Z-1476507		Wellcome Sanger Institute																															
SAMEA1677385	ERS168400									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX01062156-sc-2012-09-05T16:22:27Z-1476533		Wellcome Sanger Institute																															
SAMEA1677386	ERS168373									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX01060915-sc-2012-09-05T16:22:07Z-1476506		Wellcome Sanger Institute																															
SAMEA1677387	ERS168372									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX01060896-sc-2012-09-05T16:22:06Z-1476505		Wellcome Sanger Institute																															
SAMEA1677388	ERS168371									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX01060886-sc-2012-09-05T16:22:05Z-1476504		Wellcome Sanger Institute																															
SAMEA1677389	ERS168405									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX01062341-sc-2012-09-05T16:22:30Z-1476538		Wellcome Sanger Institute																															
SAMEA1677390	ERS168322									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX9932088-sc-2012-09-05T16:21:29Z-1476455		Wellcome Sanger Institute																															
SAMEA1677391	ERS168379									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX01061131-sc-2012-09-05T16:22:11Z-1476512		Wellcome Sanger Institute																															
SAMEA1677392	ERS168404									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX01062311-sc-2012-09-05T16:22:29Z-1476537		Wellcome Sanger Institute																															
SAMEA1677395	ERS168323									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX9932093-sc-2012-09-05T16:21:30Z-1476456		Wellcome Sanger Institute																															
SAMEA1677396	ERS168403									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX01062298-sc-2012-09-05T16:22:29Z-1476536		Wellcome Sanger Institute																															
SAMEA1677397	ERS168378									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX01061123-sc-2012-09-05T16:22:10Z-1476511		Wellcome Sanger Institute																															
SAMEA1677400	ERS168377									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX01061115-sc-2012-09-05T16:22:09Z-1476510		Wellcome Sanger Institute																															
SAMEA1677401	ERS168402									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX01062252-sc-2012-09-05T16:22:28Z-1476535		Wellcome Sanger Institute																															
SAMEA1677402	ERS168375									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX01061044-sc-2012-09-05T16:22:08Z-1476508		Wellcome Sanger Institute																															
SAMEA1677403	ERS168321									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX9932077-sc-2012-09-05T16:21:28Z-1476454		Wellcome Sanger Institute																															
SAMEA1677405	ERS168320									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX9932020-sc-2012-09-05T16:21:28Z-1476453		Wellcome Sanger Institute																															
SAMEA1677406	ERS168376									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX01061086-sc-2012-09-05T16:22:08Z-1476509		Wellcome Sanger Institute																															
SAMEA1677407	ERS168401									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX01062220-sc-2012-09-05T16:22:27Z-1476534		Wellcome Sanger Institute																															
SAMEA1677408	ERS168326									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX9932180-sc-2012-09-05T16:21:32Z-1476459		Wellcome Sanger Institute																															
SAMEA1677413	ERS168327									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX9932316-sc-2012-09-05T16:21:33Z-1476460		Wellcome Sanger Institute																															
SAMEA1677415	ERS168328									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX9932386-sc-2012-09-05T16:21:33Z-1476461		Wellcome Sanger Institute																															
SAMEA1677417	ERS168324									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX9932099-sc-2012-09-05T16:21:31Z-1476457		Wellcome Sanger Institute																															
SAMEA1677420	ERS168325									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX9932142-sc-2012-09-05T16:21:31Z-1476458		Wellcome Sanger Institute																															
SAMEA1677424	ERS168370									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX01060652-sc-2012-09-05T16:22:05Z-1476503		Wellcome Sanger Institute																															
SAMEA1677428	ERS168349									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX0051387-sc-2012-09-05T16:21:49Z-1476482		Wellcome Sanger Institute																															
SAMEA1677429	ERS168329									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX9932389-sc-2012-09-05T16:21:34Z-1476462		Wellcome Sanger Institute																															
SAMEA1677430	ERS168348									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX0051350-sc-2012-09-05T16:21:48Z-1476481		Wellcome Sanger Institute																															
SAMEA1677432	ERS168308									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX9931436-sc-2012-09-05T16:21:18Z-1476441		Wellcome Sanger Institute																															
SAMEA1677434	ERS168290									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX9930970-sc-2012-09-05T16:21:06Z-1476423		Wellcome Sanger Institute																															
SAMEA1677435	ERS168307									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX9931352-sc-2012-09-05T16:21:18Z-1476440		Wellcome Sanger Institute																															
SAMEA1677439	ERS168291									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX9930996-sc-2012-09-05T16:21:06Z-1476424		Wellcome Sanger Institute																															
SAMEA1677440	ERS168305									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX9931268-sc-2012-09-05T16:21:16Z-1476438		Wellcome Sanger Institute																															
SAMEA1677441	ERS168306									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX9931283-sc-2012-09-05T16:21:17Z-1476439		Wellcome Sanger Institute																															
SAMEA1677442	ERS168304									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX9931249-sc-2012-09-05T16:21:16Z-1476437		Wellcome Sanger Institute																															
SAMEA1677443	ERS168292									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX9931019-sc-2012-09-05T16:21:07Z-1476425		Wellcome Sanger Institute																															
SAMEA1677446	ERS168293									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX9931037-sc-2012-09-05T16:21:07Z-1476426		Wellcome Sanger Institute																															
SAMEA1677447	ERS168395									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX01061840-sc-2012-09-05T16:22:23Z-1476528		Wellcome Sanger Institute																															
SAMEA1677448	ERS168303									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX9931242-sc-2012-09-05T16:21:15Z-1476436		Wellcome Sanger Institute																															
SAMEA1677450	ERS168358									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX0052529-sc-2012-09-05T16:21:56Z-1476491		Wellcome Sanger Institute																															
SAMEA1677452	ERS168294									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX9931039-sc-2012-09-05T16:21:08Z-1476427		Wellcome Sanger Institute																															
SAMEA1677453	ERS168302									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX9931238-sc-2012-09-05T16:21:15Z-1476435		Wellcome Sanger Institute																															
SAMEA1677454	ERS168396									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX01061972-sc-2012-09-05T16:22:24Z-1476529		Wellcome Sanger Institute																															
SAMEA1677460	ERS168359									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX0052958-sc-2012-09-05T16:21:57Z-1476492		Wellcome Sanger Institute																															
SAMEA1677463	ERS168295									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX9931049-sc-2012-09-05T16:21:09Z-1476428		Wellcome Sanger Institute																															
SAMEA1677464	ERS168296									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX9931066-sc-2012-09-05T16:21:10Z-1476429		Wellcome Sanger Institute																															
SAMEA1677465	ERS168397									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX01062035-sc-2012-09-05T16:22:24Z-1476530		Wellcome Sanger Institute																															
SAMEA1677466	ERS168356									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX0052296-sc-2012-09-05T16:21:54Z-1476489		Wellcome Sanger Institute																															
SAMEA1677468	ERS168398									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX01062098-sc-2012-09-05T16:22:25Z-1476531		Wellcome Sanger Institute																															
SAMEA1677469	ERS168301									This sample has been submitted by Wellcome Sanger Institute on 2012-09-05; Neisseria meningitidis			false	2013-01-21	false																	487	Neisseria meningitidis	OX9931218-sc-2012-09-05T16:21:14Z-1476434		Wellcome Sanger Institute																															
